,bathrooms,sqft_living,sqft_lot,grade,condition,waterfront,view,age,UTM_X,UTM_Y,y
3321,2.75,2140,9920,8,3,0,0,22,554829.9759,5244637.338,5.549554981
3322,1.5,1480,2700,7,3,0,0,87,552295.4826,5274634.269,5.932473765
3323,1.5,1220,8409,6,4,0,0,67,550666.2942,5289113.512,5.50174373
3324,1.5,1390,1882,7,3,0,0,1,552878.1311,5268381.988,5.243045494
3325,1,1220,4541,7,3,0,0,63,553132.0789,5265272.216,5.447932866
3326,1.5,1500,11616,7,3,0,0,35,562319.4326,5250635.958,5.361727836
3327,1,1060,5200,6,3,0,0,46,569460.5475,5246559.149,5.335457901
3328,2.75,2980,12600,8,3,0,0,74,560351.4707,5280380.782,5.954242509
3329,1,840,863,8,3,0,0,7,548844.8754,5282873.618,5.463892989
3330,3.5,2540,5808,8,5,0,0,105,546829.5321,5281556.617,5.903084558
3331,1,1810,7200,7,4,0,0,61,548646.4697,5288640.514,5.458637849
3332,2.25,1500,7210,7,3,0,0,31,548976.6045,5240084.524,5.361727836
3333,2.5,2580,15031,9,3,0,0,16,567987.8021,5282187.904,5.84509804
3334,2,2070,7980,7,4,0,0,75,546234.2909,5261934.863,5.752048448
3335,1,2540,7000,8,5,0,0,73,555629.1132,5263872.781,5.763427994
3336,1,1150,4800,6,4,0,0,77,559560.5056,5239926.395,5.301029996
3337,2,2420,10735,7,3,0,0,48,565886.1454,5282208.167,5.720159303
3338,3.75,3050,8972,9,3,0,0,1,562143.6138,5281277.746,5.959017529
3339,2.5,1560,1222,8,3,0,0,7,552088.9373,5272520.637,5.638489257
3340,1,1200,7280,7,4,0,0,48,554583.2885,5246802.319,5.33243846
3341,1,1410,6000,7,3,0,0,90,547162.2261,5268255.22,5.615950052
3342,1.75,1570,8268,7,3,0,0,36,560203.4704,5287415.109,5.655138435
3343,2,1880,3840,7,3,0,0,111,552400.6759,5271289.706,5.638489257
3344,1,670,1800,6,5,0,0,110,548810.3039,5278049.56,5.638489257
3345,5,5820,13906,11,3,0,0,22,563103.5014,5247887.914,5.894592948
3346,1.5,1940,3570,8,4,0,0,99,550680.0666,5278932.485,5.911157609
3347,2,1720,9972,8,4,0,0,64,558741.7804,5276229.541,5.926856709
3348,1,1500,9416,8,4,0,0,63,550104.9572,5284673.822,5.677150521
3349,2,1960,4018,7,5,0,0,65,551151.8278,5267944.257,5.596597096
3350,2.75,2540,4400,7,5,0,0,90,549308.4401,5281299.243,5.842921121
3351,2.5,2830,6000,9,3,0,3,61,546778.029,5269263.541,5.853341628
3352,2.75,2910,3094,7,5,0,2,76,554312.002,5284000.279,5.892094603
3353,1,1660,8839,7,4,0,0,68,552470.0145,5288584.915,5.593839661
3354,1.75,1670,8856,7,3,0,2,60,556403.6222,5261623.938,5.543036923
3355,4.75,5780,17004,11,3,0,0,9,559256.3804,5269943.734,6.36567514
3356,2.25,1670,7150,7,4,0,0,25,568867.6095,5245607.419,5.451018452
3357,1,630,5150,5,4,0,0,61,547348.8873,5282294.39,5.597695186
3358,1,1300,11400,7,3,0,0,54,552948.8997,5243842.115,5.230448921
3359,1,1030,6250,7,3,0,0,55,562662.0126,5260931.808,5.403120521
3360,2.5,2540,4241,8,3,0,0,6,566614.3826,5284150.534,5.855519156
3361,1,1150,6800,7,3,0,0,61,549567.1002,5286169.703,5.613313161
3362,1,860,7030,7,3,0,0,42,559178.994,5284937.018,5.544068044
3363,1.75,2100,6874,7,3,0,0,72,554122.8436,5280141.656,5.763427994
3364,2.5,2120,5293,7,3,0,0,12,560264.6805,5252337.261,5.505136406
3365,2.25,2140,7701,7,4,0,0,38,562171.8007,5285657.424,5.667452953
3366,1.75,1315,2162,8,4,0,0,41,555989.2286,5289006.835,5.540329475
3367,1,940,10360,7,4,0,0,51,560785.5865,5281941.412,5.698970004
3368,2.5,2130,4496,7,3,0,0,11,554426.948,5239209.887,5.33243846
3369,2.5,2170,5257,7,3,0,0,26,552143.7113,5283180.147,5.648360011
3370,1,1340,6380,7,3,0,0,76,551546.3571,5282852.489,5.716003344
3371,3,2240,10479,7,4,0,0,65,548453.0189,5266809.798,5.600972896
3372,2.5,2050,8094,8,3,0,0,39,564720.7301,5279027.24,5.778875917
3373,2.5,1680,977,9,3,0,0,6,548004.4379,5275597.651,5.970811611
3374,1,940,5375,5,4,0,0,63,550988.4904,5252127.077,5.369215857
3375,2.5,3100,7250,9,3,0,0,5,551322.148,5282750.472,5.985426474
3376,2,2050,9000,7,4,0,0,64,556765.8702,5270841.501,5.85324178
3377,1.75,1870,5200,7,4,0,0,78,553810.3419,5281461.422,5.773786445
3378,2,2180,10575,6,2,0,0,65,561877.9385,5270949.054,5.681241237
3379,1,1710,6195,7,3,0,0,69,555175.6647,5279951.479,5.826074803
3380,1.75,2180,10221,7,4,0,2,69,556540.3116,5270839.311,5.848189117
3381,1.75,1710,4080,7,4,0,0,36,545741.5152,5267165.825,5.681241237
3382,1.75,1310,5000,7,4,0,0,114,546616.4151,5280054.432,5.77815125
3383,1.5,1160,1848,7,3,0,0,43,561778.7254,5287353.856,5.361633414
3384,2.5,2060,3608,7,3,0,0,11,552177.6959,5245624.602,5.42975228
3385,1,950,4800,6,3,0,0,74,552557.5431,5270568.667,5.648360011
3386,1,980,4800,7,4,0,0,105,548957.778,5278373.123,5.740362689
3387,1,980,7228,7,3,0,0,69,548515.0428,5286427.571,5.531478917
3388,2,2560,6800,8,4,0,1,63,545520.7538,5266530.584,5.841984805
3389,2.75,4250,10925,10,3,0,0,12,564732.8025,5264388.847,6.082066934
3390,1.75,1240,7200,7,5,0,0,73,546004.0213,5262488.761,5.630936119
3391,1.5,1770,17208,8,3,0,0,56,566418.2662,5268431.392,5.653212514
3392,2,1760,2875,7,3,0,2,27,546791.2977,5267607.601,5.640978057
3393,2.25,1250,1033,8,3,0,0,8,549301.3718,5282132.786,5.536558443
3394,3.25,4160,10335,10,3,0,0,1,560710.2218,5274771.435,6.267171728
3395,2.5,2440,14470,9,4,0,0,45,562493.69,5276635.386,5.844477176
3396,1,1240,11393,7,4,0,0,55,559869.0831,5246742.63,5.35564305
3397,2,1540,7947,7,3,0,0,54,558677.9314,5289978.196,5.586024382
3398,1.5,2100,10000,7,4,0,0,61,550458.9762,5252300.328,5.389166084
3399,1,900,2550,6,4,0,0,37,548153.2062,5239099.711,5.12515583
3400,2.75,2160,4205,7,3,0,3,46,554310.9631,5284111.418,5.770852012
3401,2.25,2130,8734,8,4,0,2,54,563107.0955,5268539.16,5.904174368
3402,1.75,1270,1916,8,3,0,0,3,553105.704,5268172.876,5.531478917
3403,1,1570,9136,7,3,0,0,62,549677.283,5290816.647,5.51851394
3404,1.5,1010,10000,7,4,0,0,42,553384.7522,5237422.103,5.326335861
3405,2.75,2700,7992,9,3,0,0,3,565166.8089,5259214.128,5.757396029
3406,2.5,3000,5639,8,3,0,0,7,566390.2247,5284070.161,5.880756445
3407,2.25,1900,11171,8,3,0,0,31,565747.4321,5267879.163,5.798650645
3408,1,2280,4600,8,3,0,2,79,547172.8529,5276235.501,5.929418926
3409,2.5,1710,9720,8,4,0,0,41,563380.076,5271109.674,5.739572344
3410,2.5,1390,1411,8,3,0,0,7,550017.0349,5277448.498,5.748188027
3411,1.75,1640,4590,7,5,0,0,64,552984.4998,5281487.183,5.84509804
3412,2.25,1590,7267,7,4,0,0,39,550074.0814,5288252.526,5.607455023
3413,4.5,3500,8504,7,3,0,0,35,552858.5643,5287076.812,5.772688355
3414,2.5,2910,19449,9,5,1,4,30,545477.7543,5291237.89,6.112269768
3415,2.5,2300,7000,8,3,0,0,40,565889.1683,5281941.434,5.786751422
3416,1.75,2770,15232,8,3,0,0,39,563178.2229,5268917.837,5.875061263
3417,2.5,1750,4797,7,4,0,0,24,560101.6918,5282756.818,5.759667845
3418,1.75,1770,8571,8,3,0,0,37,549960.5701,5239926.077,5.380211242
3419,2.5,1390,2450,7,3,0,0,6,555022.8274,5264300.513,5.319730494
3420,2.75,1540,4840,7,4,0,2,86,547026.9088,5266375.798,5.653212514
3421,1,1370,5080,6,3,0,0,84,548931.5108,5263579.495,5.243038049
3422,2.25,2140,6720,8,3,0,0,54,545320.6194,5282567.204,5.719331287
3423,2.25,2100,8163,7,3,0,0,31,555227.7171,5242496.016,5.476976466
3424,1,820,5200,6,4,0,0,38,568411.0454,5245902.188,5.342422681
3425,1,1770,8640,6,3,0,0,66,547798.8386,5282331.417,5.767155866
3426,2.25,2060,8767,8,3,0,0,32,567269.5696,5285880.969,5.73479983
3427,2.5,2920,9096,9,3,0,0,2,564109.1724,5259469.209,5.829882446
3428,2.5,1590,1485,8,3,0,0,21,546046.3804,5276193.143,5.707144188
3429,1.75,1560,7930,7,4,0,0,35,563214.2875,5258614.757,5.556302501
3430,2.25,2900,9680,7,3,0,0,68,551914.8586,5283600.461,5.799340549
3431,2.25,2210,7916,8,3,0,0,37,549576.113,5285113.875,5.698970004
3432,1,1010,10125,7,4,0,0,43,568891.031,5243607.042,5.33243846
3433,2.5,3510,6745,10,3,0,0,17,569605.3098,5272436.651,5.954242509
3434,2.5,2340,11784,9,3,0,0,18,564232.5761,5248189.126,5.51851394
3435,3.75,4520,9240,10,3,0,2,23,557967.524,5270986.694,6.096910013
3436,1.75,1480,4050,7,3,0,0,89,552237.6085,5281080.292,5.604550033
3437,2.75,1540,4000,7,3,0,0,25,548621.8914,5264599.435,5.552668216
3438,1.75,1480,3900,7,4,0,0,35,547856.1561,5238441.571,5.389166084
3439,2.5,3236,9608,10,3,0,0,10,560760.794,5248129.973,5.653212514
3440,1,620,8685,5,4,0,0,39,553564.2452,5250916.333,5.243038049
3441,2.5,1990,7577,7,3,0,0,25,549072.1694,5237684.709,5.46686762
3442,1.75,1630,7480,7,3,0,0,36,563396.8316,5255671.324,5.46478752
3443,2.75,1992,10946,6,5,1,4,112,539648.1689,5244759.93,5.633056185
3444,2.25,1381,1180,8,3,0,0,8,551007.4819,5284403.806,5.556302501
3445,2.75,3070,7201,9,3,0,0,9,564254.7165,5259937.627,5.728353782
3446,2.5,2090,7640,7,3,0,0,53,549632.6799,5287270.629,5.73479983
3447,2.5,1620,2930,8,3,0,0,13,566339.6294,5255448.246,5.524979982
3448,1,1400,7360,7,4,0,0,47,561523.1364,5240191.08,5.170924389
3449,1,820,4880,6,4,0,0,90,545597.9894,5266275.556,5.559906625
3450,1.5,1350,8113,7,4,0,0,56,560458.9731,5270011.643,5.774516966
3451,1.5,1300,8280,7,5,0,0,59,555776.8722,5287704.331,5.597695186
3452,2.5,2280,9491,7,4,0,0,49,566337.5686,5275521.922,5.759667845
3453,1,1000,3700,6,3,0,0,86,553419.5944,5266753.073,5.409933123
3454,2.5,2710,12138,8,3,0,0,47,553202.045,5290503.355,5.728353782
3455,1.5,2550,6300,7,4,0,0,56,562357.6759,5261217.541,5.567026366
3456,2.5,2280,9725,8,3,0,0,29,564377.8886,5289627.402,5.752048448
3457,1.75,1550,4257,7,3,0,3,62,546368.8524,5263958.728,5.618048097
3458,2.25,2330,11424,8,4,0,0,31,566852.1041,5276517.058,5.84509804
3459,1,1340,7788,7,3,0,2,68,556926.6472,5262051.358,5.477121255
3460,1.75,1490,4800,7,4,0,0,97,545822.5881,5266421.8,5.669781615
3461,3,1740,3700,7,3,0,0,33,551932.4715,5273208.348,5.786751422
3462,1,1250,7200,7,3,0,0,51,566106.5122,5276019.479,5.685741739
3463,1,1220,6000,7,5,0,0,54,559441.829,5236702.061,5.208172527
3464,1,1200,6000,6,3,0,0,92,548774.5556,5264345.076,5.342422681
3465,2.5,1400,2958,8,3,0,0,8,547176.9457,5266432.579,5.571126277
3466,2.5,2080,7877,9,3,0,0,28,564014.3259,5254355.381,5.602059991
3467,2,2290,7125,7,3,0,0,51,566181.8852,5275998.105,5.763427994
3468,1.75,1720,8867,8,3,0,0,30,565144.6967,5254423.402,5.541579244
3469,3,1520,1884,8,3,0,0,6,553701.0835,5285161.664,5.600972896
3470,1.75,2145,3840,8,5,0,0,105,548253.7656,5281768.326,5.86569606
3471,1.75,1260,12750,7,3,0,0,36,557513.7001,5286454.166,5.601951404
3472,1,720,2500,7,3,0,0,105,549180.4133,5278686.21,5.642068627
3473,1,620,14823,6,3,0,0,89,552486.3958,5286773.332,5.511883361
3474,2.5,2580,6260,7,3,0,0,11,561396.8173,5259473.485,5.572871602
3475,2.5,3000,8250,8,4,0,0,52,566726.6925,5274348.156,5.711807229
3476,1.75,1540,8925,7,4,0,0,58,549670.2355,5291639.088,5.593839661
3477,1.75,1560,9247,7,3,0,0,26,561977.513,5282776.517,5.69019608
3478,2.5,3180,9400,10,5,0,4,30,563339.3752,5267930.353,6.1775365
3479,1,1000,9170,7,3,0,0,35,565294.875,5254480.646,5.518448133
3480,1.75,1820,8118,7,4,0,0,35,562465.36,5251104.322,5.421603927
3481,3.5,3630,8100,10,3,0,0,7,560141.6849,5271608.905,6.193986763
3482,1.75,1030,1106,7,3,0,0,9,546132.2418,5265323.917,5.537819095
3483,2.5,2430,3249,8,3,0,0,5,563633.8493,5261609.183,5.630936119
3484,2.25,1800,9350,8,3,0,0,46,561164.1469,5238364.59,5.352182518
3485,2,1540,8400,7,3,0,0,47,565403.9571,5278367.966,5.724234896
3486,2.75,2990,7200,8,3,0,0,18,563268.4926,5260571.544,5.69019608
3487,1,790,12000,6,3,0,0,97,555339.8919,5262614.091,5.394451681
3488,1.75,1960,8400,8,4,0,0,48,546937.0702,5239923.441,5.414973348
3489,2.75,3240,6863,10,3,0,0,2,560773.9567,5261412.06,5.857302336
3490,2.25,3740,18000,9,4,0,0,64,546664.2683,5283444.778,6.06069784
3491,2,1540,7575,7,4,0,0,37,554438.4718,5246134.122,5.33243846
3492,3.25,1980,2850,7,3,0,0,28,550231.5934,5278695.188,5.819543936
3493,1,620,4760,6,3,0,0,74,546969.9718,5264096.898,5.423245874
3494,1,1310,7697,6,3,0,0,65,549105.9438,5260735.683,5.272537777
3495,2.25,2130,7172,8,4,0,0,51,566716.5122,5275237.254,5.773384134
3496,2,2350,6000,8,4,0,0,93,551069.3169,5277357.601,5.942008053
3497,2,2280,5750,8,4,0,0,64,545882.4618,5268378.396,5.583198774
3498,1,960,6263,6,4,0,1,73,559911.8466,5279331.425,5.819543936
3499,1.75,1300,9600,7,4,0,0,46,567377.6462,5276545.345,5.658011397
3500,1.5,1020,1275,8,3,0,0,7,549067.245,5283197.818,5.462397998
3501,1,1600,5500,7,4,0,0,69,545542.7601,5282946.837,5.795880017
3502,2.25,1580,7941,7,4,0,0,29,548624.4558,5236958.596,5.392696953
3503,2.25,1650,10336,7,3,0,0,53,548696.7802,5291575.254,5.462397998
3504,1,1200,6278,7,3,0,0,73,548692.3008,5283172.435,5.687261346
3505,2.5,2210,5002,7,3,0,0,38,544972.2548,5279096.753,5.865103975
3506,3.5,1970,5079,8,3,0,0,8,552938.3289,5270038.608,5.770852012
3507,3.5,3280,6603,10,3,0,0,8,565743.4281,5268234.799,5.983626287
3508,2.25,2370,10890,7,4,0,0,35,560381.4759,5270233.138,5.974741905
3509,2.25,2130,11782,8,4,0,0,38,559073.3781,5265729.378,5.892094603
3510,1.75,1610,6300,7,3,0,0,74,552364.2623,5266965.809,5.539703239
3511,1,1350,8700,6,3,0,0,73,553598.857,5255384.61,5.407390904
3512,2.25,1790,7125,7,3,0,0,41,558050.2588,5285292.425,5.593286067
3513,1.75,1140,10400,7,4,0,0,32,552127.0725,5234265.595,5.397940009
3514,1,870,5200,6,5,0,0,46,569609.837,5246705.407,5.336459734
3515,2.25,1560,8280,7,4,0,0,36,555977.1983,5243136.606,5.380120754
3516,3.5,4790,12957,9,3,0,1,10,560648.3697,5266256.793,5.913018684
3517,1.5,1810,3400,8,3,0,0,89,552442.3554,5275013.488,5.748188027
3518,2.5,2440,4153,9,3,0,0,12,568545.1729,5279471.183,5.851258349
3519,2.5,2040,5616,8,3,0,0,3,557089.7556,5291429.54,5.700703717
3520,1.75,1840,7230,7,3,0,0,77,558272.526,5247849.14,5.389166084
3521,2.75,2390,6820,7,4,0,0,70,554791.7368,5280859.269,5.902546779
3522,1.5,1230,8056,6,4,0,0,66,551676.8751,5259601.921,5.176091259
3523,1,700,5559,6,5,0,0,66,551644.7969,5288655.315,5.424881637
3524,2,1460,6250,7,4,0,0,103,550072.243,5279760.825,5.848189117
3525,3.75,3880,8370,7,4,0,0,11,561854.3329,5258955.908,5.704150517
3526,2.5,3310,5300,8,3,0,2,7,546000.8747,5262888.85,5.826074803
3527,1,740,6180,6,3,0,0,67,554774.2002,5266732.273,5.534026106
3528,2.25,1210,1250,8,3,0,0,1,546241.083,5280051.436,5.716003344
3529,1,720,5040,6,3,0,0,60,548176.0656,5263895.539,5.311753861
3530,1.75,1490,9874,7,4,0,0,52,560183.0074,5274888.231,5.953276337
3531,2.5,2830,5802,9,3,0,0,14,557403.9606,5289965.446,5.741151599
3532,1,1160,8636,6,3,0,0,92,548417.5276,5262008.094,5.40654018
3533,4,4690,8208,9,3,0,0,89,552286.4059,5275645.624,6.311329952
3534,3.25,3970,8029,9,3,0,2,36,546074.0374,5291631.616,5.997823081
3535,2.5,1800,2790,8,3,0,0,4,547331.1208,5265978.137,5.561101384
3536,1,1030,4958,7,5,0,0,63,554280.959,5279287.288,5.856124444
3537,1.75,2000,10246,7,3,0,2,62,556777.1269,5261938.759,5.667452953
3538,1.75,1500,8173,7,3,0,0,18,557963.1653,5286503.097,5.638489257
3539,2.75,3140,7258,10,3,0,1,9,557613.4849,5283954.273,5.963787827
3540,1,1400,4500,7,3,0,0,93,558834.5982,5259536.096,5.255272505
3541,2,3140,10437,8,4,0,0,56,557979.7802,5269753.075,5.966141733
3542,1.5,990,8925,7,4,0,0,53,550547.5858,5241987.178,5.198657087
3543,2.5,2050,9015,7,4,0,0,42,562737.0561,5253919.222,5.462397998
3544,3,3480,6625,8,3,0,0,3,563812.6827,5259021.379,5.770852012
3545,2.75,2310,14745,7,3,0,0,22,552087.415,5247290.927,5.568201724
3546,3,1280,1085,8,3,0,0,11,549107.9546,5278374.388,5.726727209
3547,1.75,2320,6400,8,4,0,2,58,545889.667,5277014.381,5.891537458
3548,1.5,1370,10317,6,3,0,0,57,552896.9152,5257978.998,5.300921408
3549,1.75,1100,1307,7,3,0,0,7,547919.7924,5267605.637,5.45484486
3550,2.75,2880,4000,9,3,0,0,103,553161.1837,5270340.729,5.877946952
3551,2.5,2910,15016,10,3,0,0,25,567762.0309,5282240.845,5.883661435
3552,1,1240,7194,6,3,0,0,79,559798.4699,5290334.214,5.491361694
3553,1.75,1300,6318,7,3,0,0,35,556649.9868,5236018.848,5.29666519
3554,1.75,1270,10790,7,3,0,0,59,561788.6545,5279362.167,5.605305046
3555,2,1190,1303,8,3,0,0,6,547446.4054,5279538.755,5.658011397
3556,2,2150,5400,7,4,0,0,104,546720.6933,5267029.089,5.77633791
3557,1,1400,6600,6,3,0,0,61,550399.4145,5259224.012,5.332337449
3558,1.75,1920,9350,7,4,0,0,38,560866.205,5237928.048,5.371067862
3559,2.75,2740,7872,10,3,0,0,0,562364.7808,5260550.731,5.72427587
3560,1.5,1940,4800,8,3,0,0,110,550132.7509,5281450.782,5.892094603
3561,4,4620,5508,11,3,0,0,100,551874.8269,5279676.585,6.146128036
3562,1,1560,10125,7,4,0,0,61,552169.8874,5288615.553,5.612783857
3563,2,1450,9333,7,4,0,0,43,551740.2726,5243842.478,5.389166084
3564,1,1040,8892,6,4,0,0,57,549189.5155,5241742.281,5.263636069
3565,2.75,2500,11659,9,3,0,2,36,550463.7401,5242953.381,5.544068044
3566,3.25,4290,12103,11,3,0,3,18,567566.5953,5266710.613,6.146128036
3567,2.5,1610,3848,8,3,0,0,9,561212.7192,5255459.162,5.465382851
3568,1.75,1240,4550,7,4,0,0,64,545269.4347,5269829.594,5.703291378
3569,3,2420,7740,7,5,0,0,86,548318.0721,5264930.347,5.61436984
3570,1.75,1290,3870,7,5,0,0,99,553383.7101,5270676.199,5.811239773
3571,2,2200,7700,7,3,0,0,36,561799.0382,5257054.711,5.445604203
3572,3.5,3510,7200,9,3,0,0,6,545292.3606,5266873.353,6.003245055
3573,1,620,4455,6,3,0,0,88,545401.9022,5281767.587,5.62838893
3574,2.5,1730,3600,8,3,0,0,1,549705.448,5261096.403,5.518224314
3575,2.5,3190,10034,9,3,0,0,8,566777.8819,5276438.4,5.966141733
3576,1,1400,9384,6,4,0,0,67,548110.024,5262772.446,5.511883361
3577,2.25,3220,8436,8,3,0,0,47,566402.0526,5276456.333,5.903089987
3578,2.75,3940,9671,9,5,0,4,48,563334.9151,5268341.557,6.161368002
3579,2.75,2610,11290,7,3,0,0,30,559988.5277,5279176.605,5.87909588
3580,1.5,1730,7020,5,4,0,0,62,562743.1643,5260388.053,5.428134794
3581,2.5,2850,12429,9,3,0,0,7,561757.0193,5282340.679,5.875061263
3582,2.5,2640,13775,8,3,0,0,37,561879.7066,5270782.349,5.72427587
3583,2.25,1230,932,8,3,0,0,11,552524.6993,5274213.973,5.680335513
3584,1,950,10080,7,4,0,0,61,564755.9422,5269090.734,5.638489257
3585,1.75,1420,1361,7,3,0,0,1,551597.7639,5268559.48,5.46834733
3586,1.5,1430,6380,7,4,0,0,70,551098.9081,5282537.324,5.720159303
3587,2.5,3160,13194,10,5,0,0,50,557713.4576,5266260.41,6.075546961
3588,1,1400,6879,7,3,0,0,64,553517.0516,5288850.122,5.605305046
3589,3.25,3090,6744,9,3,0,4,92,545856.6711,5290696.251,5.929418926
3590,2,1680,3240,5,3,0,0,109,551795.6832,5271684.428,5.579783597
3591,1.5,1400,9087,7,3,0,0,61,549450.3194,5291070.349,5.505149978
3592,1,780,4132,7,3,0,0,73,546138.6453,5264512.623,5.460897843
3593,2.25,2180,4200,8,5,0,0,76,552427.5494,5276658.33,5.861534411
3594,2.5,2550,6677,8,3,0,0,13,557583.5033,5286977.266,5.774516966
3595,2.5,1990,3478,10,3,0,0,25,545146.192,5276030.493,5.653212514
3596,1,710,9000,6,5,0,0,72,549799.9464,5258840.996,5.184691431
3597,2.5,2990,10711,9,3,1,4,39,551049.5776,5245092.338,5.913813852
3598,2.25,2280,7500,7,4,0,0,52,550387.3684,5251855.144,5.525044807
3599,1,1120,17332,7,3,0,0,27,555416.8625,5238452.238,5.220108088
3600,2.75,3150,7379,7,4,0,0,100,552521.9576,5282838.994,5.806179974
3601,1,1240,12092,6,3,0,0,93,548806.9981,5260455.325,5.365487985
3602,1,1230,9568,7,5,0,0,53,561786.3372,5265390.643,5.587710965
3603,1.75,1100,8662,7,5,0,0,51,562240.4826,5265150.936,5.624282096
3604,1.75,1590,7280,7,3,0,0,41,563876.4752,5253164.605,5.447158031
3605,1.75,1400,9546,7,4,0,0,31,550558.5572,5240709.159,5.337459261
3606,2.5,1870,8541,8,3,0,0,26,549448.6433,5237876.791,5.477106778
3607,1.75,1760,9277,7,4,0,0,53,548353.2469,5260673.845,5.588831726
3608,2.75,3010,7427,8,3,0,0,5,566615.0197,5284094.965,5.903089987
3609,1,990,10800,6,4,0,0,56,559352.8898,5238023.76,5.315970345
3610,1,860,8308,7,3,0,0,67,546837.7576,5261806.291,5.498310554
3611,2.25,2380,4876,9,4,0,0,67,545031.4146,5281153.404,5.942008053
3612,1,1260,3230,7,3,0,0,108,547392.5924,5276926.388,5.685741739
3613,2.5,1950,8251,7,3,0,0,25,554387.0066,5243532.921,5.458788882
3614,2.5,2100,6021,7,3,0,0,23,547256.6861,5237769.902,5.443966678
3615,1.5,1890,6938,8,3,0,0,96,545938.0804,5270868.459,5.916453949
3616,1,960,8855,7,4,0,0,57,550351.5358,5290833.578,5.54383222
3617,2.5,1390,1821,7,3,0,0,8,554019.7554,5266947.54,5.568201724
3618,1.75,1620,4879,7,3,0,0,91,546255.8167,5268725.888,5.761175813
3619,2.5,2200,6400,8,3,0,0,5,563581.7174,5259474.573,5.662757832
3620,3.5,3220,3960,10,3,0,4,24,546312.8576,5271015.909,6.100370545
3621,1.75,1830,9758,8,3,0,0,38,557758.768,5284433.661,5.633417953
3622,2.5,2390,10000,9,3,0,0,40,557978.1241,5269919.78,5.903089987
3623,1,740,7680,6,4,0,0,93,547350.0222,5263644.276,5.544068044
3624,2.5,2460,4425,8,3,0,0,9,566842.6259,5283875.271,5.840733235
3625,2.25,2870,8170,10,3,0,0,20,546285.7466,5264947.244,5.929418926
3626,2.25,4250,16940,9,4,0,2,41,557640.2953,5266048.508,6.184691431
3627,3.5,4700,13730,11,3,0,3,57,558757.278,5282131.746,6.423245874
3628,2.75,3370,8103,9,3,0,3,45,546447.8338,5263492.554,6.054995862
3629,1.75,1510,3600,8,5,0,0,105,547848.0728,5276341.04,5.903089987
3630,2.5,2700,5150,9,3,0,0,8,564158.1874,5261870.55,5.740362689
3631,1,680,5250,6,4,0,0,93,548090.9863,5283300.804,5.698970004
3632,2.25,2360,7733,8,3,0,0,32,565068.9283,5254455.905,5.593286067
3633,1,1170,7350,7,4,0,0,55,566343.5162,5274999.577,5.494850022
3634,2.25,4320,19225,10,4,0,0,43,558892.0142,5276231.058,6.249198357
3635,3,1980,3868,7,3,0,0,25,554584.1714,5262907.082,5.523486332
3636,1.5,1170,4080,6,5,0,0,98,546589.0055,5264671.795,5.556302501
3637,1,1420,6000,7,3,0,0,65,552384.3119,5281459.515,5.67669361
3638,1.5,1830,9000,7,3,0,2,60,553069.3639,5288623.711,5.667452953
3639,3.5,4110,15720,10,3,0,1,15,557846.059,5283200.762,6.161368002
3640,1,1210,7649,7,4,0,0,59,550950.5655,5290883.271,5.491361694
3641,2.75,2300,5090,8,3,0,0,8,548159.3061,5265929.332,5.655138435
3642,1.5,1850,6125,6,3,0,0,70,547415.655,5264834.043,5.602005701
3643,1.5,1640,2720,8,3,0,0,86,551256.1302,5281727.33,5.67669361
3644,1.5,1860,7963,7,3,0,0,52,555180.2648,5255577.112,5.459919956
3645,2.5,2510,12779,10,3,0,4,47,557697.5498,5283043.676,6.290034611
3646,2,1910,11576,7,3,0,0,37,560130.455,5287225.394,5.591064607
3647,3,3130,2646,9,5,0,0,109,551389.7234,5275093.027,6.102090526
3648,2,1190,7570,6,3,0,0,76,549846.6961,5262197.926,5.322219295
3649,2.25,1481,2820,7,3,0,0,3,559142.831,5243878.884,5.397940009
3650,3,1830,9548,7,3,0,0,24,558178.5377,5287461.148,5.618048097
3651,1.75,590,6138,5,2,0,0,68,554329.6903,5265983.445,5.193124598
3652,2.5,3000,10920,8,4,0,0,46,558178.7576,5264875.686,6.031408464
3653,2,1780,3810,7,3,0,0,93,547915.2307,5277308.561,5.839478047
3654,2.5,2000,5150,9,3,0,4,23,558289.5311,5283872.095,5.959041392
3655,3.5,3500,9523,10,3,0,0,19,559438.4393,5281571.803,6.138302698
3656,1,840,7870,6,3,0,0,66,550530.4269,5287500.672,5.399673721
3657,1,1010,8551,7,5,0,0,62,552858.3619,5287099.04,5.544068044
3658,1.75,1120,5500,7,4,0,0,90,545827.0334,5265855.004,5.667079205
3659,1,2034,13392,7,5,1,4,68,537550.5486,5242089.985,5.739572344
3660,1.75,1070,8030,7,3,0,0,49,563433.9229,5279968.973,5.733999287
3661,1,800,5220,6,3,0,0,72,551014.6049,5283592.488,5.397940009
3662,1,1480,4080,7,3,0,0,66,545555.038,5281379.774,5.891035415
3663,2.25,1540,965,9,3,0,0,8,551248.355,5274080.349,5.806179974
3664,2.5,1890,3880,8,4,0,0,100,547899.8633,5279175.688,5.860936621
3665,2.5,2480,5137,9,3,0,0,15,562741.5131,5281517.584,5.855519156
3666,2.25,1670,7416,7,4,0,0,41,562237.4983,5272486.743,5.763427994
3667,3,3460,5353,10,3,0,0,8,545640.6446,5270443.777,6.096910013
3668,2.5,2390,6775,7,3,0,0,12,561628.3135,5258953.525,5.550228353
